START;South
CHANGE;1;7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,1;OPP
CHANGE;2;0,0,9,9,9,9,9,2,1,9,8,8,8,8,8,1;YOU
CHANGE;6;1,1,10,10,10,10,9,2,1,9,8,8,8,0,9,2;OPP
CHANGE;1;0,2,10,10,10,10,9,2,1,9,8,8,8,0,9,2;YOU
CHANGE;1;0,2,10,10,10,10,9,2,0,10,8,8,8,0,9,2;OPP
CHANGE;6;0,2,10,10,10,0,10,14,1,11,9,9,9,1,0,2;YOU
CHANGE;5;1,3,11,11,11,1,10,14,1,11,9,9,0,2,1,3;OPP
CHANGE;3;1,5,12,12,11,1,10,14,1,11,0,10,1,3,2,4;OPP
CHANGE;1;0,6,12,12,11,1,10,14,1,11,0,10,1,3,2,4;YOU
CHANGE;4;1,7,13,13,12,2,10,14,1,11,0,0,2,4,3,5;OPP
CHANGE;1;0,8,13,13,12,2,10,14,1,11,0,0,2,4,3,5;YOU
END 
