START;South
CHANGE;1;7,7,7,7,7,7,7,0,0,8,8,8,8,8,8,1;OPP
CHANGE;2;0,0,9,9,9,9,9,2,1,9,8,8,8,8,8,1;YOU
CHANGE;5;1,1,10,10,10,9,9,2,1,9,8,8,0,9,9,2;OPP
CHANGE;1;0,2,10,10,10,9,9,2,1,9,8,8,0,9,9,2;YOU
CHANGE;1;0,2,10,10,10,9,9,2,0,10,8,8,0,9,9,2;OPP
CHANGE;7;0,2,10,10,10,9,0,14,1,11,9,9,1,10,0,2;YOU
CHANGE;1;0,2,10,10,10,9,0,14,0,12,9,9,1,10,0,2;OPP
CHANGE;2;0,0,11,11,10,9,0,14,0,12,9,9,1,10,0,2;YOU
CHANGE;6;1,1,12,12,11,10,0,14,0,12,9,9,1,0,1,5;OPP
CHANGE;1;0,2,12,12,11,10,0,14,0,12,9,9,1,0,1,5;YOU
CHANGE;2;1,3,13,13,12,11,0,14,0,0,10,10,2,1,2,6;OPP
CHANGE;1;0,4,13,13,12,11,0,14,0,0,10,10,2,1,2,6;YOU
CHANGE;5;0,4,13,13,12,11,0,14,0,0,10,10,0,2,3,6;OPP
CHANGE;2;0,0,14,14,13,12,0,14,0,0,10,10,0,2,3,6;YOU
END
